,region,date,anxiete_target,depression_target,pbsommeil_target,hyg4mes_target,portmasque_target
0,Auvergne-Rhône-Alpes,2020-03-30,0.23,0.18,0.62,0.48,0.14
1,Normandie,2020-03-30,0.23,0.19,0.61,0.45,0.09
2,Occitanie,2020-03-30,0.26,0.24,0.58,0.56,0.17
3,Hauts-de-France,2020-03-30,0.23,0.16,0.65,0.48,0.12
4,Grand Est,2020-03-30,0.26,0.25,0.6,0.57,0.17
5,Pays de la Loire,2020-03-30,0.18,0.15,0.57,0.4,0.14
6,Centre-Val de Loire,2020-03-30,0.22,0.28,0.62,0.52,0.12
7,Provence-Alpes-Côte d'Azur,2020-03-30,0.22,0.17,0.62,0.56,0.17
8,Bretagne,2020-03-30,0.19,0.21,0.63,0.53,0.14
9,Île-de-France,2020-03-30,0.19,0.21,0.64,0.45,0.16
10,Bourgogne-Franche-Comté,2020-03-30,0.18,0.18,0.55,0.56,0.21
11,Nouvelle-Aquitaine,2020-03-30,0.18,0.18,0.6,0.48,0.15
12,Nouvelle-Aquitaine,2020-04-06,0.18,0.19,0.64,0.43,0.41
13,Grand Est,2020-04-06,0.21,0.19,0.6,0.38,0.37
14,Pays de la Loire,2020-04-06,0.2,0.19,0.59,0.46,0.31
15,Bretagne,2020-04-06,0.19,0.16,0.65,0.37,0.2
16,Bourgogne-Franche-Comté,2020-04-06,0.21,0.16,0.73,0.46,0.45
17,Normandie,2020-04-06,0.19,0.25,0.71,0.48,0.37
18,Île-de-France,2020-04-06,0.16,0.2,0.65,0.44,0.45
19,Hauts-de-France,2020-04-06,0.2,0.22,0.68,0.47,0.35
20,Provence-Alpes-Côte d'Azur,2020-04-06,0.19,0.16,0.66,0.47,0.47
21,Auvergne-Rhône-Alpes,2020-04-06,0.2,0.19,0.69,0.44,0.33
22,Centre-Val de Loire,2020-04-06,0.12,0.18,0.68,0.47,0.46
23,Occitanie,2020-04-06,0.16,0.12,0.72,0.47,0.42
24,Pays de la Loire,2020-04-20,0.19,0.19,0.65,0.44,0.23
25,Occitanie,2020-04-20,0.18,0.19,0.62,0.51,0.29
26,Centre-Val de Loire,2020-04-20,0.19,0.21,0.7,0.49,0.24
27,Provence-Alpes-Côte d'Azur,2020-04-20,0.15,0.18,0.64,0.5,0.3
28,Grand Est,2020-04-20,0.21,0.22,0.64,0.46,0.23
29,Bretagne,2020-04-20,0.15,0.2,0.68,0.46,0.19
30,Normandie,2020-04-20,0.2,0.19,0.69,0.48,0.27
31,Auvergne-Rhône-Alpes,2020-04-20,0.18,0.17,0.66,0.44,0.26
32,Bourgogne-Franche-Comté,2020-04-20,0.18,0.2,0.63,0.46,0.19
33,Île-de-France,2020-04-20,0.17,0.2,0.63,0.46,0.29
34,Nouvelle-Aquitaine,2020-04-20,0.18,0.16,0.64,0.43,0.26
35,Hauts-de-France,2020-04-20,0.24,0.19,0.7,0.47,0.24
36,Île-de-France,2020-05-04,0.22,0.21,0.69,0.44,0.4
37,Nouvelle-Aquitaine,2020-05-04,0.15,0.14,0.6,0.42,0.31
38,Centre-Val de Loire,2020-05-04,0.18,0.13,0.68,0.48,0.34
39,Occitanie,2020-05-04,0.18,0.23,0.66,0.47,0.29
40,Pays de la Loire,2020-05-04,0.13,0.16,0.58,0.42,0.26
41,Provence-Alpes-Côte d'Azur,2020-05-04,0.15,0.18,0.6,0.4,0.35
42,Normandie,2020-05-04,0.28,0.26,0.75,0.36,0.29
43,Bourgogne-Franche-Comté,2020-05-04,0.16,0.22,0.7,0.45,0.32
44,Grand Est,2020-05-04,0.2,0.24,0.65,0.42,0.4
45,Auvergne-Rhône-Alpes,2020-05-04,0.18,0.18,0.68,0.44,0.37
46,Hauts-de-France,2020-05-04,0.16,0.16,0.68,0.43,0.24
47,Bretagne,2020-05-04,0.14,0.18,0.64,0.43,0.23
48,Centre-Val de Loire,2020-05-18,0.17,0.1,0.67,0.4,0.51
49,Bretagne,2020-05-18,0.16,0.1,0.63,0.42,0.41
50,Hauts-de-France,2020-05-18,0.2,0.16,0.67,0.37,0.44
51,Bourgogne-Franche-Comté,2020-05-18,0.19,0.1,0.67,0.41,0.45
52,Normandie,2020-05-18,0.15,0.14,0.62,0.37,0.42
53,Nouvelle-Aquitaine,2020-05-18,0.16,0.12,0.66,0.41,0.46
54,Occitanie,2020-05-18,0.16,0.14,0.66,0.43,0.52
55,Auvergne-Rhône-Alpes,2020-05-18,0.16,0.13,0.64,0.44,0.49
56,Provence-Alpes-Côte d'Azur,2020-05-18,0.17,0.13,0.62,0.48,0.53
57,Île-de-France,2020-05-18,0.17,0.14,0.65,0.45,0.53
58,Pays de la Loire,2020-05-18,0.19,0.14,0.66,0.33,0.47
59,Grand Est,2020-05-18,0.19,0.13,0.65,0.46,0.5
60,Centre-Val de Loire,2020-06-01,0.14,0.11,0.76,0.48,0.56
61,Grand Est,2020-06-01,0.21,0.12,0.62,0.41,0.56
62,Provence-Alpes-Côte d'Azur,2020-06-01,0.14,0.11,0.62,0.38,0.56
63,Bretagne,2020-06-01,0.13,0.08,0.52,0.43,0.39
64,Bourgogne-Franche-Comté,2020-06-01,0.15,0.1,0.7,0.34,0.49
65,Auvergne-Rhône-Alpes,2020-06-01,0.11,0.09,0.67,0.43,0.54
66,Pays de la Loire,2020-06-01,0.12,0.09,0.59,0.49,0.53
67,Île-de-France,2020-06-01,0.18,0.15,0.69,0.45,0.58
68,Occitanie,2020-06-01,0.19,0.14,0.68,0.43,0.46
69,Hauts-de-France,2020-06-01,0.24,0.14,0.72,0.36,0.6
70,Nouvelle-Aquitaine,2020-06-01,0.12,0.11,0.64,0.41,0.56
71,Normandie,2020-06-01,0.25,0.17,0.7,0.41,0.51
72,Bourgogne-Franche-Comté,2020-06-08,0.19,0.11,0.72,0.31,0.41
73,Auvergne-Rhône-Alpes,2020-06-08,0.17,0.12,0.63,0.37,0.51
74,Grand Est,2020-06-08,0.2,0.1,0.67,0.39,0.6
75,Île-de-France,2020-06-08,0.2,0.13,0.68,0.38,0.6
76,Occitanie,2020-06-08,0.17,0.1,0.65,0.33,0.44
77,Nouvelle-Aquitaine,2020-06-08,0.12,0.07,0.56,0.28,0.45
78,Centre-Val de Loire,2020-06-08,0.2,0.08,0.64,0.34,0.52
79,Pays de la Loire,2020-06-08,0.13,0.1,0.67,0.27,0.33
80,Normandie,2020-06-08,0.16,0.09,0.78,0.41,0.54
81,Provence-Alpes-Côte d'Azur,2020-06-08,0.14,0.11,0.67,0.35,0.43
82,Hauts-de-France,2020-06-08,0.2,0.13,0.63,0.34,0.48
83,Bretagne,2020-06-08,0.12,0.05,0.58,0.36,0.42
84,Normandie,2020-06-22,0.15,0.07,0.68,0.36,0.46
85,Hauts-de-France,2020-06-22,0.2,0.13,0.7,0.33,0.55
86,Nouvelle-Aquitaine,2020-06-22,0.17,0.1,0.61,0.34,0.56
87,Auvergne-Rhône-Alpes,2020-06-22,0.14,0.1,0.63,0.39,0.51
88,Île-de-France,2020-06-22,0.14,0.14,0.58,0.39,0.53
89,Bourgogne-Franche-Comté,2020-06-22,0.12,0.09,0.65,0.43,0.58
90,Provence-Alpes-Côte d'Azur,2020-06-22,0.16,0.13,0.7,0.41,0.49
91,Grand Est,2020-06-22,0.15,0.14,0.57,0.32,0.52
92,Pays de la Loire,2020-06-22,0.14,0.08,0.63,0.33,0.47
93,Bretagne,2020-06-22,0.16,0.14,0.6,0.33,0.57
94,Occitanie,2020-06-22,0.11,0.08,0.6,0.32,0.52
95,Centre-Val de Loire,2020-06-22,0.16,0.06,0.56,0.32,0.53
96,Hauts-de-France,2020-07-20,0.21,0.13,0.72,0.34,0.62
97,Pays de la Loire,2020-07-20,0.14,0.07,0.7,0.33,0.58
98,Auvergne-Rhône-Alpes,2020-07-20,0.16,0.1,0.61,0.35,0.56
99,Île-de-France,2020-07-20,0.19,0.16,0.67,0.37,0.63
100,Occitanie,2020-07-20,0.17,0.1,0.67,0.34,0.58
101,Provence-Alpes-Côte d'Azur,2020-07-20,0.18,0.13,0.59,0.31,0.6
102,Normandie,2020-07-20,0.23,0.11,0.58,0.45,0.57
103,Nouvelle-Aquitaine,2020-07-20,0.14,0.1,0.61,0.33,0.63
104,Grand Est,2020-07-20,0.18,0.11,0.65,0.43,0.64
105,Bretagne,2020-07-20,0.2,0.12,0.59,0.24,0.63
106,Bourgogne-Franche-Comté,2020-07-20,0.13,0.09,0.55,0.35,0.69
107,Centre-Val de Loire,2020-07-20,0.12,0.12,0.69,0.38,0.64
108,Bretagne,2020-08-10,0.08,0.07,0.55,0.32,0.37
109,Occitanie,2020-08-10,0.12,0.1,0.66,0.36,0.49
110,Provence-Alpes-Côte d'Azur,2020-08-10,0.18,0.09,0.66,0.31,0.4
111,Hauts-de-France,2020-08-10,0.18,0.12,0.69,0.39,0.51
112,Nouvelle-Aquitaine,2020-08-10,0.14,0.1,0.6,0.31,0.48
113,Bourgogne-Franche-Comté,2020-08-10,0.13,0.09,0.64,0.45,0.44
114,Normandie,2020-08-10,0.16,0.1,0.64,0.41,0.53
115,Centre-Val de Loire,2020-08-10,0.14,0.08,0.71,0.36,0.48
116,Île-de-France,2020-08-10,0.19,0.14,0.65,0.38,0.58
117,Grand Est,2020-08-10,0.18,0.12,0.65,0.35,0.49
118,Auvergne-Rhône-Alpes,2020-08-10,0.17,0.15,0.66,0.4,0.5
119,Pays de la Loire,2020-08-10,0.17,0.11,0.59,0.38,0.48
120,Occitanie,2020-08-24,0.17,0.11,0.58,0.25,0.63
121,Centre-Val de Loire,2020-08-24,0.15,0.13,0.57,0.32,0.72
122,Pays de la Loire,2020-08-24,0.24,0.15,0.73,0.37,0.68
123,Bretagne,2020-08-24,0.14,0.14,0.65,0.35,0.66
124,Hauts-de-France,2020-08-24,0.27,0.17,0.7,0.29,0.7
125,Bourgogne-Franche-Comté,2020-08-24,0.12,0.11,0.59,0.41,0.73
126,Nouvelle-Aquitaine,2020-08-24,0.17,0.09,0.63,0.29,0.7
127,Provence-Alpes-Côte d'Azur,2020-08-24,0.15,0.09,0.57,0.3,0.61
128,Normandie,2020-08-24,0.15,0.07,0.7,0.3,0.72
129,Auvergne-Rhône-Alpes,2020-08-24,0.15,0.09,0.66,0.31,0.66
130,Grand Est,2020-08-24,0.24,0.16,0.68,0.35,0.72
131,Île-de-France,2020-08-24,0.15,0.11,0.65,0.31,0.71
132,Pays de la Loire,2020-09-21,0.24,0.13,0.68,0.23,0.7
133,Bourgogne-Franche-Comté,2020-09-21,0.19,0.08,0.61,0.38,0.69
134,Nouvelle-Aquitaine,2020-09-21,0.19,0.1,0.7,0.3,0.75
135,Île-de-France,2020-09-21,0.18,0.13,0.64,0.32,0.81
136,Normandie,2020-09-21,0.18,0.16,0.63,0.24,0.66
137,Auvergne-Rhône-Alpes,2020-09-21,0.14,0.08,0.61,0.32,0.73
138,Occitanie,2020-09-21,0.22,0.14,0.64,0.35,0.68
139,Centre-Val de Loire,2020-09-21,0.18,0.1,0.69,0.33,0.83
140,Bretagne,2020-09-21,0.17,0.1,0.67,0.43,0.76
141,Grand Est,2020-09-21,0.15,0.11,0.66,0.36,0.75
142,Provence-Alpes-Côte d'Azur,2020-09-21,0.11,0.09,0.63,0.28,0.67
143,Hauts-de-France,2020-09-21,0.22,0.08,0.76,0.34,0.75
144,Hauts-de-France,2020-10-19,0.23,0.19,0.61,0.35,0.84
145,Pays de la Loire,2020-10-19,0.16,0.08,0.65,0.34,0.77
146,Occitanie,2020-10-19,0.22,0.18,0.66,0.31,0.74
147,Nouvelle-Aquitaine,2020-10-19,0.14,0.14,0.64,0.4,0.78
148,Normandie,2020-10-19,0.23,0.17,0.65,0.35,0.79
149,Grand Est,2020-10-19,0.21,0.14,0.62,0.4,0.78
150,Centre-Val de Loire,2020-10-19,0.13,0.12,0.63,0.41,0.8
151,Bretagne,2020-10-19,0.22,0.17,0.57,0.36,0.82
152,Bourgogne-Franche-Comté,2020-10-19,0.15,0.11,0.64,0.35,0.75
153,Auvergne-Rhône-Alpes,2020-10-19,0.2,0.13,0.69,0.41,0.82
154,Provence-Alpes-Côte d'Azur,2020-10-19,0.21,0.12,0.66,0.42,0.74
155,Île-de-France,2020-10-19,0.17,0.2,0.65,0.35,0.8
